fid;Tipo_de_Pr;Estado_201;Proyecto;Empresa;Capacidad;Contrato;Municipio;Departamen;Lat;Long;the_geom;the_geom2
21;1;5;REDSA;SOCIEDAD MERCANTIL RENEWABLES ENERGY DEVELOPERS S.A. (RED SA)./SOCIEDAD MERCANTIL VALORACIONES ENERGÉTICAS DEL ATLÁNTICO;5;233-2014;1;1;15.1833444;-87.0693139;POINT (-87.0693139 15.1833444);POINT (-87.0693139 15.1833444)
22;1;6;Los Pinos;SOCIEDAD MERCANTIL HONDURAS BIOMASS ENERGY, S.A., (HBENERGY).;3.5;270-2014;118;8;14.5071664;-86.8482504;POINT (-86.8482504 14.5071664);POINT (-86.8482504 14.5071664)
23;1;4;Palmasa;Palmeros del Aguán (PALMASA);1.8;;18;2;15.7623166;-85.7675028;POINT (-85.7675028 15.7623166);POINT (-85.7675028 15.7623166)
24;1;4;exportadora del atlantico;exportadora del atlantico;2.6;;17;2;15.7284916;-85.8571361;POINT (-85.8571361 15.7284916);POINT (-85.8571361 15.7284916)
25;2;4;Parque Eólico Mesoamérica / Cerro de Hula;ENERGÍA EÓLICA DE HONDURAS, S.A., (EEHSA);125;049-2008;131;8;13.9354444;-87.2374444;POINT (-87.2374444 13.9354444);POINT (-87.2374444 13.9354444)
26;2;4;Parque Eólico El Chinchayote;EOLICOS R4E, S.A. DE C.V., (EÓLICOS R4E).;5;055-2010;6;6;13.3648;-86.922;POINT (-86.922 13.3648);POINT (-86.922 13.3648)
27;2;6;Eolico Cololaca;SOCIEDAD MERCANTIL COLOLACA WIND ENERGY, S.A. DE C.V. (COLOLACA WIND ENERGY). (San Marcos Wind Energy);112.5;061-2014;187;13;14.3403936;-88.9085367;POINT (-88.9085367 14.3403936);POINT (-88.9085367 14.3403936)
28;2;6;Parque Eolico Los Tablones;SOCIEDAD MERCANTIL AEROWIND, S.A. DE C.V. (AEROWIND).;40;062-2014;122;8;13.972497;-87.3772257;POINT (-87.3772257 13.972497);POINT (-87.3772257 13.972497)
29;2;4;Eolico San Marcos;VIENTOS DE ELECTROTECNIA, S.A. DE C.V., (VESA);50;131-2012;89;6;13.3916758;-86.9445824;POINT (-86.9445824 13.3916758);POINT (-86.9445824 13.3916758)
30;2;8;Eolico Chinchayote;VIENTOS DE SAN MARCOS, S.A. DE C.V., (VESAM);55;136-2012;89;6;13.3808905;-86.9564437;POINT (-86.9564437 13.3808905);POINT (-86.9564437 13.3808905)
31;3;4;Fotovoltaico Fray Lázaro;SOCIEDAD MERCANTIL ENERGÍA SOLAR DEL SUR, S.A. DE C.V. (ENSSUR);5;001-2014;75;6;13.37;-87.309998;POINT (-87.309998 13.37);POINT (-87.309998 13.37)
32;3;4;Generación Nacaome I;PACIFIC SOLAR ENERGY, S.A. DE C.V. (PSE);50;002-2014;279;17;13.52286042;-87.54979046;POINT (-87.54979046 13.52286042);POINT (-87.54979046 13.52286042)
33;3;4;Generación Nacaome II;PRODUCCIÓN DE ENERGÍA SOLAR Y DEMÁS RENOVABLES, S.A. (PRODERSSA);50;003-2014;279;17;13.48435536;-87.54810238;POINT (-87.54810238 13.48435536);POINT (-87.54810238 13.48435536)
