"ID_Bus";"Desc_Ruta";"ID_Modalidad";"ID_Depto";"ID_Municipio";"HoraInicio";"HoraFinal";"TiempoEstimado";"KmlUbicacion"
51;"El Carrizal - El Centro - El Sitio";1;8;110;"4:55:00";"19:00:00";"7 Minutos";"https://www.dropbox.com/s/mweg0cse3is4qef/Carrizal_Centro_El_Sitio.kmz?dl=1"
52;"El Carrizal - Centro - La Sosa";1;8;110;"5:30:00";"20:00:00";"5 Minutos";"https://www.dropbox.com/s/kguw47huzj32oum/CARRIZAL%20CENTRO%20LA%20SOSA.kmz?dl=0"
53;"Maria José - Centro";1;8;110;"5:15:00";"19:00:00";"10 Minutos";"https://www.dropbox.com/s/y0yr0u35ov0e0rq/MARIA%20JOSE%20CENTRO.kmz?dl=0"
54;"Carrizal - La Esperanza - 28 de Marzo - San Felipe";1;8;110;"5:30:00";"20:00:00";"7 Minutos";"https://www.dropbox.com/s/b2inn9akmgve1o4/CARRIZAL%20LA%20ESPERANZA%2028%20MARZO%20SAN%20FELIPE.kmz?dl=0"
55;"Guasculile - El Centro - Residencial Los Olivos";1;8;110;"5:00:00";"16:45:00";"15 Minutos";"https://www.dropbox.com/s/p4vv7ya4f1vgavv/GUASCULILE%20CENTRO%20RES%20LOS%20OLIVOS.kmz?dl=0"
56;"Río Grande - San Felipe";1;8;110;"5:30:00";"20:00:00";"6 Minutos";"https://www.dropbox.com/s/x1e5f52ddxb06c4/RIO%20GRANDE%20LOMAS%20SAN%20FELIPE.kmz?dl=0"
57;"Nuevo Tiempo - El Mercado";1;8;110;"5:25:00";"17:45:00";"30 Minutos";"https://www.dropbox.com/s/i0ljf52nk7rkfgv/NUEVO%20TIEMPO%20EL%20MERCADO.kmz?dl=0"
58;"Tiloarque - El Centro - La Esperanza";1;8;110;"5:00:00";"19:00:00";"5 Minutos";"https://www.dropbox.com/s/58hcloavz3b4xwu/El_Tiloarque_-_El_Centro_-_La_Esperanza.kmz?dl=1"
59;"Peniel - El Centro";1;8;110;"6:00:00";"17:45:00";"10 Minutos";"https://www.dropbox.com/s/4jn2v06uf4rkahn/PENIEL%20CENTRO.kmz?dl=0"
60;"Residencial Centro América - El Centro";1;8;110;"5:45:00";"19:30:00";"14 Minutos";"https://www.dropbox.com/s/tikx5py0vw3zkis/RESIDENCIAL%20CENTROAMERICA%20CENTRO.kmz?dl=0"
61;"Las Torres - El Centro";1;8;110;"5:30:00";"18:15:00";"10 Minutos";"https://www.dropbox.com/s/um61fritco5t46b/LAS%20TORRES%20CENTRO.kmz?dl=0"
62;"Nueva Suyapa - El Mercado por el Estadio";1;8;110;"5:30:00";"20:30:00";"3 Minutos";"https://www.dropbox.com/s/3auxctr42qnpu04/NUEVA%20SUYAPA%20UNAH%20MERCADO%20%28ESTADIO%29.kmz?dl=0"
63;"Sagastume - El Centro - El Pino - Villa Campesina";1;8;110;"5:30:00";"19:00:00";"30 Minutos";"https://www.dropbox.com/s/c7h9sc3dzp605y9/SAGASTUME%20CENTRO%20EL%20PINO%20VILLA%20CAMPESINA.kmz?dl=0"
64;"Reynel Funez - El Mercado";1;8;110;"5:30:00";"18:00:00";"15 Minutos";"https://www.dropbox.com/s/g5b54yeslw3l0dh/REYNEL%20FUNEZ%20MERCADO.kmz?dl=0"
65;"Tizatillo - El Mercado";1;8;110;"5:30:00";"18:00:00";"16 Minutos";"https://www.dropbox.com/s/vba3yhssv3xhycp/Tizatillo_-_El_Mercado.kmz?dl=1"
66;"Altos de Santa Rosa - El Mercado San Isidro";1;8;110;"5:30:00";"20:00:00";"16 Minutos";"https://www.dropbox.com/s/ony5gwgbpawqyys/ALTOS%20DE%20SANTA%20ROSA%20MERCADO.kmz?dl=0"
67;"Aldea Santa Rosa - El Mercado San Isidro";1;8;110;"5:30:00";"20:00:00";"16 Minutos";"https://www.dropbox.com/s/v1vr4ulncu7n22i/ALDEA%20SANTA%20ROSA%20-%20MERCADO.kmz?dl=0"
68;"El Lolo - Buenos Aires";1;8;110;"5:30:00";"20:00:00";"30 Minutos";"https://www.dropbox.com/s/ezlc8pnlb9tqybe/EL%20LOLO%20BUENOS%20AIRES.kmz?dl=0"
69;"La Cuesta - El Mercado";1;8;110;"6:00:00";"18:00:00";"90 Minutos";"https://www.dropbox.com/s/4cgxzudxpqntuok/La_Cuesta_-_El_Mercado.kmz?dl=1"
70;"Tegucigalpa - El Piligüin - Los Trojes";1;8;110;"5:45:00";"17:30:00";"30 Minutos";"https://www.dropbox.com/s/2zddfma5lddbfv7/TEGUCIGALPA%20PILIGUIN%20TROJES.kmz?dl=0"
71;"Villafranca - La Laguna";1;8;110;"5:30:00";"18:00:00";"20 Minutos";"https://www.dropbox.com/s/5xhvteooe4d5iau/VILLAFRANCA%20LA%20LAGUNA.kmz?dl=0"
72;"Ruta 1 - Renacer";1;5;63;"4:00:00";"19:00:00";"3 Minutos";"https://www.dropbox.com/s/cjfb9mjgnnewu7k/Ruta_1_-_Renacer.kmz?dl=1"
73;"Ruta 1 - Catul Xpress";1;5;63;"5:00:00";"19:00:00";"20 Minutos";"https://www.dropbox.com/s/hlr5persywy0shn/Ruta_1_-_Catul_Xpress_Grande3.kmz?dl=1"
74;"Ruta 2 - 33 Calle";1;5;63;"4:40:00";"18:30:00";"5 Minutos";"https://www.dropbox.com/s/jhh3rd2d6ycwh07/Ruta_2_-_33_calle.kmz?dl=1"
75;"Ruta 2 - Primavera";1;5;63;"4:00:00";"21:30:00";"5 Minutos";"https://www.dropbox.com/s/i7fj9yfpyrosgi3/Ruta_2_-_Primavera_Profe.kmz?dl=1"
76;"Ruta 4 - Brisas Ideal";1;5;63;"5:20:00";"20:00:00";"5 Minutos";"https://www.dropbox.com/s/uyi3skzq4mtdosg/Ruta_4_-_Brisas_Ideal.kmz?dl=1"
77;"Ruta 4 - Por Arriba";1;5;63;"5:20:00";"19:00:00";"20 Minutos";"https://www.dropbox.com/s/a6wnd3yx559xe8g/Ruta_4_-_por_arriba.kmz?dl=1"
78;"Ruta 5 - Los Pinos";1;5;63;"4:30:00";"19:00:00";"5 Minutos";"https://www.dropbox.com/s/7wl896v9aoik3t2/Ruta%205%20-%20Los%20Pinos.kmz?dl=1"
79;"Ruta - Eben Ezer";1;5;63;"5:00:00";"20:00:00";"5 Minutos";"https://www.dropbox.com/s/r60cck65w824k1d/Ruta%20-%20Eben%20Ezer.kmz?dl=1"
80;"Ruta - San José - Chamelecón";1;5;63;"4:30:00";"21:00:00";"5 Minutos";"https://www.dropbox.com/s/ipt9efaf6b3rcl6/Ruta%20-%20San%20Jose%20-%20Chamelecon.kmz?dl=1"
81;"Ruta 7 - Setul";1;5;63;"4:30:00";"21:00:00";"5 Minutos";"https://www.dropbox.com/s/dph6urrdddckxd3/Ruta_7_-_Setul.kmz?dl=1"
82;"Ruta 7 - Tranis";1;5;63;"4:00:00";"20:00:00";"5 Minutos";"https://www.dropbox.com/s/r7yvrmk6yqf1ppb/Ruta_7_-_Tranis.kmz?dl=1"
83;"Ruta - Aldea El Carmen";1;5;63;"5:40:00";"21:00:00";"10 Minutos";"https://www.dropbox.com/s/zos19jf213lv6d6/Ruta_-_Aldea_El_Carmen.kmz?dl=1"
84;"Ruta - Armenta Stibys";1;5;63;"5:30:00";"19:00:00";"30 Minutos";"https://www.dropbox.com/s/uuiz1acvmj0oxkm/Ruta_-_Armenta_Stibys.kmz?dl=1"
85;"Ruta - Armenta";1;5;63;"5:30:00";"19:00:00";"40 Minutos";"https://www.dropbox.com/s/rsoi73jobc35sb2/Ruta_-_Armenta.kmz?dl=1"
86;"Ruta - Brisas del Valle - Sector Cofradia";1;5;63;"4:30:00";"20:00:00";"7 Minutos";"https://www.dropbox.com/s/z1amjfyejtzb2rr/Ruta_-_Brisas_del_Valle%2C_Sector_Cofradia.kmz?dl=1"
87;"Ruta - Catul Extpress Terminal Barandillas";1;5;63;"4:30:00";"20:00:00";"5 Minutos";"https://www.dropbox.com/s/ffisuv1y05eqv2a/Ruta_-_Catul_Express_Terminal-Barandillas.kmz?dl=1"
88;"Ruta - Celeo Gonzales";1;5;63;"4:50:00";"22:00:00";"6 Minutos";"https://www.dropbox.com/s/v8mcy46pu37x8q4/Ruta_-_Celeo_Gonzalez.kmz?dl=1"
89;"Ruta - Chamelecón - PILO Comixnuhl";1;5;63;"4:30:00";"20:00:00";"5 Minutos";"https://www.dropbox.com/s/zqaq1uqc56r0qtg/Ruta_-_Chamelecon_PILO-Comixnuhl.kmz?dl=1"
90;"Ruta - Choloma Caribe";1;5;63;"5:00:00";"21:00:00";"15 Minutos";"https://www.dropbox.com/s/mgs8z531axdr0he/Ruta_-_Choloma-Caribe.kmz?dl=1"
